REPORT_DISTRICT,REPORT_DISTNAME,REPORT_CHARTER_STATUS,BLANK_COLUMN,DISTRICT,SERVICE,SERVICEX,CTE_STUDENTS,CTE_HOURS,CTE_AVG,ALL_STUDENTS,ALL_HOURS,ALL_AVG
,,,,61914,3330100,UNITED STATES GOVERNMENT (GOVT,13,39,3,17,51,3
,,,,61914,3340100,US HISTORY STUDIES SINCE 1877,3,12,4,5,15,3
,,,,61914,3350100,PSYCHOLOGY (PSYCH),3,3,3,3,12,4
,,,,61914,3370100,SOCIOLOGY (SOC),3,3,3,3,3,3
,,,,61914,13037500,PRINCIPLES OF ENGINEERING,23,138,6,23,138,6
,,,,61914,13037600,DIGITAL ELECTRONICS,24,138,5.8,24,138,5.8
,,,,61914,A3100200,AP STATISTICS (APSTATS),38,228,6,51,306,6
,,,,61914,N1303742,INTRO TO ENGIN DESIGN (PLTW),92,552,6,92,552,6
,,,,61914,N1303749,ENG DESIGN & DEVELOP (PLTW),14,42,3,14,42,3
Total,,,,61914,,,273,"1,548",5.7,312,"1,758",5.6
,,,,61914,,,,,,,,
62901,CUERO ISD,TRADITIONAL ISD/CSD,,62901,3102500,INDEP STUDY IN MATH (1ST TIME),3,3,3,3,3,3
,,,,62901,3102502,INDEPEND STUDY MATH,1,1,1,1,1,1
,,,,62901,3220400,ENGLISH IV (ENG 4),23,44,1.9,24,46,1.9
,,,,62901,3310300,ECONOMICS W/EMPH FREE ENTERPR,3,12,4,3,12,4
,,,,62901,3330100,UNITED STATES GOVERNMENT (GOVT,10,30,3,10,30,3
,,,,62901,3340100,US HISTORY STUDIES SINCE 1877,19,105,5.5,21,117,5.6
,,,,62901,3380001,SOCIAL STUDIES ADV (1ST TIME),6,18,3,6,18,3
Total,,,,62901,,,67,220,3.3,72,238,3.3
,,,,62901,,,,,,,,
62903,YOAKUM ISD,TRADITIONAL ISD/CSD,,62903,3102500,INDEP STUDY IN MATH (1ST TIME),6,18,3,6,24,4
,,,,62903,3220300,ENGLISH III (ENG 3),3,3,3,3,3,3
,,,,62903,3220400,ENGLISH IV (ENG 4),25,129,5.2,32,165,5.2
,,,,62903,3221100,RESEARCH/TECHNICAL WRITING,3,3,3,3,3,3
,,,,62903,3310300,ECONOMICS W/EMPH FREE ENTERPR,6,24,4,10,30,3
,,,,62903,3330100,UNITED STATES GOVERNMENT (GOVT,15,60,4,19,75,3.9
,,,,62903,3340100,US HISTORY STUDIES SINCE 1877,22,132,6,27,162,6
,,,,62903,3350100,PSYCHOLOGY (PSYCH),11,33,3,18,54,3
,,,,62903,3370100,SOCIOLOGY (SOC),13,39,3,19,57,3
,,,,62903,13037200,SCIENTIFIC RESEARCH & DESIGN,6,24,4,6,24,4
Total,,,,62903,,,111,474,4.3,144,606,4.2
,,,,62903,,,,,,,,
62904,YORKTOWN ISD,TRADITIONAL ISD/CSD,,62904,3102500,INDEP STUDY IN MATH (1ST TIME),3,3,3,3,3,3
,,,,62904,3220300,ENGLISH III (ENG 3),9,27,3,11,33,3
,,,,62904,3220400,ENGLISH IV (ENG 4),4.5,4.5,4.5,4.5,4.5,4.5
,,,,62904,3310300,ECONOMICS W/EMPH FREE ENTERPR,3,3,3,3,3,3
,,,,62904,3330100,UNITED STATES GOVERNMENT (GOVT,3,3,3,3,3,3
,,,,62904,3340100,US HISTORY STUDIES SINCE 1877,,0,,6,6,6
,,,,62904,3370100,SOCIOLOGY (SOC),3,3,3,3,3,3
,,,,62904,3380021,SOCIAL STUDIES ADV (2ND TIME),3,3,3,3,3,3
,,,,62904,A3100101,AP CALCULUS AB,6,6,6,6,6,6
Total,,,,62904,,,18,69,3.8,20,81,4.1
,,,,62904,,,,,,,,
63903,SPUR ISD,TRADITIONAL ISD/CSD,,63903,3102500,INDEP STUDY IN MATH (1ST TIME),9,27,3,9,27,3
,,,,63903,3220400,ENGLISH IV (ENG 4),12,48,4,12,48,4
,,,,63903,3330100,UNITED STATES GOVERNMENT (GOVT,3,12,4,3,12,4
,,,,63903,3340100,US HISTORY STUDIES SINCE 1877,6,24,4,6,24,4
Total,,,,63903,,,25,111,4.4,25,111,4.4
,,,,63903,,,,,,,,
63906,PATTON SPRINGS ISD,TRADITIONAL ISD/CSD,,63906,3220300,ENGLISH III (ENG 3),6,6,6,6,6,6
,,,,63906,3220400,ENGLISH IV (ENG 4),6,6,6,6,6,6
,,,,63906,3350100,PSYCHOLOGY (PSYCH),3,3,3,3,3,3
,,,,63906,3370100,SOCIOLOGY (SOC),3,3,3,3,3,3
Total,,,,63906,,,9,27,3,9,27,3
,,,,63906,,,,,,,,
64903,CARRIZO SPRINGS CISD,TRADITIONAL ISD/CSD,,64903,3220300,ENGLISH III (ENG 3),6,6,6,6,6,6
,,,,64903,3220400,ENGLISH IV (ENG 4),44,249,5.7,46,261,5.7
,,,,64903,3241400,COMMUNICATION APPLICATIONS,3,3,3,3,3,3
,,,,64903,3310300,ECONOMICS W/EMPH FREE ENTERPR,9,27,3,11,33,3
,,,,64903,3330100,UNITED STATES GOVERNMENT (GOVT,11,33,3,13,39,3
,,,,64903,3340100,US HISTORY STUDIES SINCE 1877,24,144,6,27,162,6
,,,,64903,3350100,PSYCHOLOGY (PSYCH),32,96,3,39,117,3
,,,,64903,3370100,SOCIOLOGY (SOC),19,57,3,25,75,3
,,,,64903,3580140,FUNDAMENTALS OF COMP SCIENCE,23,96,4.2,31,135,4.4
,,,,64903,13014300,HUMAN GROWTH & DEVELOP,14,42,3,16,48,3
Total,,,,64903,,,185,774,4.2,218,903,4.1
,,,,64903,,,,,,,,
65901,CLARENDON ISD,TRADITIONAL ISD/CSD,,65901,3101100,PRECALCULUS (PRE CALC),15,45,3,15,45,3
,,,,65901,3220300,ENGLISH III (ENG 3),12,48,4,12,48,4
,,,,65901,3220400,ENGLISH IV (ENG 4),10,30,3,10,30,3
,,,,65901,3340100,US HISTORY STUDIES SINCE 1877,18,54,3,18,54,3
Total,,,,65901,,,31,177,5.7,31,177,5.7
,,,,65901,,,,,,,,
65902,HEDLEY ISD,TRADITIONAL ISD/CSD,,65902,3102500,INDEP STUDY IN MATH (1ST TIME),3,3,3,3,3,3
,,,,65902,3340100,US HISTORY STUDIES SINCE 1877,,0,,3,3,3
,,,,65902,13020600,ANATOMY & PHYSIOLOGY,3.8,3.8,3.8,10,30,3
Total,,,,65902,,,11,39,3.5,13,45,3.5
,,,,65902,,,,,,,,
66902,SAN DIEGO ISD,TRADITIONAL ISD/CSD,,66902,3102500,INDEP STUDY IN MATH (1ST TIME),11,63,5.7,12,69,5.8
,,,,66902,3102501,INDEP STUDY IN MATH (2ND TIME),6,6,6,3,12,4
,,,,66902,3241400,COMMUNICATION APPLICATIONS,36,108,3,41,123,3
,,,,66902,3310300,ECONOMICS W/EMPH FREE ENTERPR,20,60,3,23,69,3
,,,,66902,3320100,WORLD GEOGRAPHY STUDIES (W GEO,3,3,3,3,3,3
,,,,66902,3330100,UNITED STATES GOVERNMENT (GOVT,34,102,3,41,123,3
,,,,66902,3340100,US HISTORY STUDIES SINCE 1877,11,33,3,13,39,3
,,,,66902,3350100,PSYCHOLOGY (PSYCH),3,3,3,3,3,3
,,,,66902,3380001,SOCIAL STUDIES ADV (1ST TIME),3,12,4,3,12,4
,,,,66902,13020500,PRACTICUM HEALTH SCIENCE,12,18,1.5,13,19,1.5
,,,,66902,13020510,PRACTICUM HEALTH SCIENCE II,17,68,4,17,68,4
,,,,66902,13020600,ANATOMY & PHYSIOLOGY,8,8,8,8,8,8
,,,,66902,IHE11200,SCIENCE-INST OF HIGH ED ENDRSD,3,3,3,3,3,3
Total,,,,66902,,,151,490,3.2,172,557,3.2
,,,,66902,,,,,,,,
66903,FREER ISD,TRADITIONAL ISD/CSD,,66903,13020200,PRINCIPLES OF HEALTH SCIENCE,12,47,3.9,12,47,3.9
Total,,,,66903,,,12,47,3.9,12,47,3.9
,,,,66903,,,,,,,,
67902,CISCO ISD,TRADITIONAL ISD/CSD,,67902,3010200,BIOLOGY (BIO),9,27,3,9,27,3
,,,,67902,3101100,PRECALCULUS (PRE CALC),36,204,5.7,36,204,5.7
,,,,67902,3220300,ENGLISH III (ENG 3),22,129,5.9,22,129,5.9
,,,,67902,3220400,ENGLISH IV (ENG 4),21,123,5.9,21,123,5.9
,,,,67902,3310300,ECONOMICS W/EMPH FREE ENTERPR,18,54,3,18,54,3
,,,,67902,3330100,UNITED STATES GOVERNMENT (GOVT,19,57,3,19,57,3
,,,,67902,3340100,US HISTORY STUDIES SINCE 1877,22,126,5.7,22,126,5.7
Total,,,,67902,,,143,720,5,143,720,5
,,,,67902,,,,,,,,
67903,EASTLAND ISD,TRADITIONAL ISD/CSD,,67903,3101100,PRECALCULUS (PRE CALC),9,36,4,9,36,4
,,,,67903,3102500,INDEP STUDY IN MATH (1ST TIME),22,105,4.8,22,105,4.8
,,,,67903,3152700,MUSIC I THEORY (MUS1THY),3,12,4,5,15,3
,,,,67903,3220300,ENGLISH III (ENG 3),13,75,5.8,14,81,5.8
,,,,67903,3220400,ENGLISH IV (ENG 4),29,123,4.2,29,123,4.2
,,,,67903,3310301,ECONOMICS ADV STUDIES (1ST),21,63,3,21,63,3
,,,,67903,3330100,UNITED STATES GOVERNMENT (GOVT,25,75,3,25,75,3
,,,,67903,3340100,US HISTORY STUDIES SINCE 1877,15,84,5.6,16,90,5.6
,,,,67903,3370100,SOCIOLOGY (SOC),3,3,3,3,3,3
,,,,67903,3380001,SOCIAL STUDIES ADV (1ST TIME),19,57,3,19,57,3
,,,,67903,3502300,ART IV DRAWING (ART4DRAW),3,3,3,3,12,4
,,,,67903,13001100,ENERGY & NAT RESOURCES TECH,4.5,4.5,4.5,4.5,4.5,4.5
,,,,67903,13009900,PROFESSIONAL COMMUNICATIONS,24,72,3,24,72,3
,,,,67903,13011400,BUSIN INFO MGT I,7,7,7,7,7,7
,,,,67903,13011500,BUSIN INFO MGT II,14,42,3,14,42,3
,,,,67903,13020200,PRINCIPLES OF HEALTH SCIENCE,3,12,4,3,12,4
,,,,67903,13020600,ANATOMY & PHYSIOLOGY,17,136,8,17,136,8
,,,,67903,13024600,COUNSEL & MENTAL HEALTH,12,48,4,12,48,4
Total,,,,67903,,,224,968,4.3,228,986,4.3
,,,,67903,,,,,,,,
67904,GORMAN ISD,TRADITIONAL ISD/CSD,,67904,3102500,INDEP STUDY IN MATH (1ST TIME),3,12,4,3,12,4
,,,,67904,3220400,ENGLISH IV (ENG 4),9,27,3,9,27,3
,,,,67904,3310300,ECONOMICS W/EMPH FREE ENTERPR,7,21,3,7,21,3
,,,,67904,3330100,UNITED STATES GOVERNMENT (GOVT,7,21,3,7,21,3
,,,,67904,3340100,US HISTORY STUDIES SINCE 1877,10,30,3,10,30,3
,,,,67904,3380001,SOCIAL STUDIES ADV (1ST TIME),3,3,3,3,3,3
,,,,67904,13020300,MEDICAL TERMINOLOGY,3,3,3,3,3,3
,,,,67904,13020600,ANATOMY & PHYSIOLOGY,6,24,4,6,24,4
,,,,67904,13020800,PATHOPHYSIOLOGY,3,3,3,3,3,3
,,,,67904,13032300,WELDING,6,18,3,6,18,3
Total,,,,67904,,,37,168,4.5,37,168,4.5
,,,,67904,,,,,,,,
67907,RANGER ISD,TRADITIONAL ISD/CSD,,67907,3102500,INDEP STUDY IN MATH (1ST TIME),6,6,6,6,18,3
,,,,67907,3220300,ENGLISH III (ENG 3),10,30,3,10,30,3
,,,,67907,3220400,ENGLISH IV (ENG 4),10,30,3,13,39,3
,,,,67907,3310300,ECONOMICS W/EMPH FREE ENTERPR,3,3,3,3,3,3
,,,,67907,3330100,UNITED STATES GOVERNMENT (GOVT,3,12,4,5,15,3
,,,,67907,3340100,US HISTORY STUDIES SINCE 1877,6,24,4,6,24,4
,,,,67907,13020600,ANATOMY & PHYSIOLOGY,3,12,4,6,6,6
Total,,,,67907,,,27,129,4.8,31,147,4.7
,,,,67907,,,,,,,,
67908,RISING STAR ISD,TRADITIONAL ISD/CSD,,67908,3220300,ENGLISH III (ENG 3),10,30,3,10,30,3
,,,,67908,3220400,ENGLISH IV (ENG 4),3,12,4,3,12,4
,,,,67908,3310300,ECONOMICS W/EMPH FREE ENTERPR,3,3,3,3,3,3
,,,,67908,3330100,UNITED STATES GOVERNMENT (GOVT,3,3,3,3,3,3
,,,,67908,3340100,US HISTORY STUDIES SINCE 1877,9,36,4,9,36,4
Total,,,,67908,,,19,90,4.7,19,90,4.7
,,,,67908,,,,,,,,
68901,ECTOR COUNTY ISD,TRADITIONAL ISD/CSD,,68901,3010200,BIOLOGY (BIO),17,99,5.8,19,108,5.7
,,,,68901,3101100,PRECALCULUS (PRE CALC),23,129,5.6,34,195,5.7
,,,,68901,3102500,INDEP STUDY IN MATH (1ST TIME),9,27,3,15,45,3
,,,,68901,3152500,APPLIED MUSIC I (MUS1APL),11,33,3,14,42,3
,,,,68901,3152900,MUSIC I HISTORY (MUS1HIST),5,15,3,7,21,3
,,,,68901,3220300,ENGLISH III (ENG 3),107,612,5.7,143,816,5.7
,,,,68901,3220400,ENGLISH IV (ENG 4),113,660,5.8,134,786,5.9
,,,,68901,3241400,COMMUNICATION APPLICATIONS,49,147,3,101,303,3
,,,,68901,3310300,ECONOMICS W/EMPH FREE ENTERPR,127,381,3,151,453,3
,,,,68901,3330100,UNITED STATES GOVERNMENT (GOVT,122,366,3,148,444,3
,,,,68901,3340100,US HISTORY STUDIES SINCE 1877,109,600,5.5,151,843,5.6
,,,,68901,3350100,PSYCHOLOGY (PSYCH),26,78,3,43,129,3
,,,,68901,3370100,SOCIOLOGY (SOC),17,51,3,23,69,3
,,,,68901,3440300,LANG O/T ENGLISH III - SPANISH,13,39,3,17,51,3
,,,,68901,3501300,ART III DRAWING (ART3DRAW),,0,,6,6,6
,,,,68901,3501700,ART III HISTORY (ART3HIST),22,72,3.3,25,81,3.2
,,,,68901,3980100,LANG O/T ENGLISH I - ASL,3,3,3,6,18,3
,,,,68901,3980200,LANG O/T ENGLISH II - ASL,,0,,3,12,4
,,,,68901,13000500,EQUINE SCIENCE,3,3,3,3,3,3
,,,,68901,13008400,ADVANCED ANIMATION,20,114,5.7,20,114,5.7
,,,,68901,13009000,PRACTICUM GRAPH DESGN & ILLUST,9,36,4,9,36,4
,,,,68901,13014200,PRINC OF ED & TRAINING,25,75,3,25,75,3
,,,,68901,13014300,HUMAN GROWTH & DEVELOP,25,75,3,25,75,3
,,,,68901,13014500,PRACTICUM ED & TRAINING,10,57,5.7,10,57,5.7
,,,,68901,13016600,ACCOUNTING I,18,54,3,18,54,3
,,,,68901,13016700,ACCOUNTING II,10,30,3,10,30,3
,,,,68901,13020300,MEDICAL TERMINOLOGY,131,393,3,131,393,3
,,,,68901,13020500,PRACTICUM HEALTH SCIENCE,18,105,5.8,18,105,5.8
,,,,68901,13020510,PRACTICUM HEALTH SCIENCE II,10,48,4.8,10,48,4.8
,,,,68901,13020600,ANATOMY & PHYSIOLOGY,3,12,4,3,12,4
,,,,68901,13022600,CULINARY ARTS,18,99,5.5,18,99,5.5
,,,,68901,13022700,PRACITCUM CULINARY ARTS,5,15,3,5,15,3
,,,,68901,13025200,COSMETOLOGY I,19,99,5.2,19,99,5.2
,,,,68901,13025300,COSMETOLOGY II,14,81,5.8,14,81,5.8
,,,,68901,13029300,LAW ENFORCEMENT I,28,165,5.9,28,165,5.9
,,,,68901,13029400,LAW ENFORCEMENT II,14,42,3,14,42,3
,,,,68901,13029900,FIREFIGHTER I,14,42,3,14,42,3
,,,,68901,13030000,FIREFIGHTER II,14,42,3,14,42,3
,,,,68901,13032300,WELDING,27,147,5.4,27,147,5.4
,,,,68901,13032400,ADVANCED WELDING,26,135,5.2,26,135,5.2
,,,,68901,13032700,FLEXIBLE MANUFACTURING,3,3,3,3,3,3
,,,,68901,13033000,PRACTICUM MANUFACTURING,14,78,5.6,14,78,5.6
,,,,68901,13036800,ELECTRONICS,12,69,5.8,12,69,5.8
,,,,68901,13036900,ADVANCED ELECTRONICS,18,54,3,18,54,3
,,,,68901,13039600,AUTOMOTIVE TECHNOLOGY,21,114,5.4,21,114,5.4
,,,,68901,13039700,ADV AUTOMOTIVE TECHNOLOGY,6,24,4,6,24,4
,,,,68901,PES00052,FOUND OF PERSON FITNESS,6,24,4,6,24,4
,,,,68901,PES00055,INDIVIDUAL OR TEAM SPORTS,21,99,4.7,24,108,4.5
Total,,,,68901,,,"1,270","5,658",4.5,"1,531","6,774",4.4
,,,,68901,,,,,,,,
69901,ROCKSPRINGS ISD,TRADITIONAL ISD/CSD,,69901,3350100,PSYCHOLOGY (PSYCH),3,3,3,3,3,3
,,,,69901,3370100,SOCIOLOGY (SOC),3,3,3,3,3,3
Total,,,,69901,,,3,12,4,3,12,4
,,,,69901,,,,,,,,
69902,NUECES CANYON CISD,TRADITIONAL ISD/CSD,,69902,3220400,ENGLISH IV (ENG 4),6,18,3,6,24,4
,,,,69902,3310300,ECONOMICS W/EMPH FREE ENTERPR,3,12,4,7,21,3
,,,,69902,3330100,UNITED STATES GOVERNMENT (GOVT,3,12,4,7,21,3
,,,,69902,3340100,US HISTORY STUDIES SINCE 1877,12,48,4,12,48,4
Total,,,,69902,,,19,90,4.7,26,114,4.4
,,,,69902,,,,,,,,
70901,AVALON ISD,TRADITIONAL ISD/CSD,,70901,3101100,PRECALCULUS (PRE CALC),3,3,3,3,3,3
,,,,70901,3220305,ENGLISH III,6,6,6,14,42,3
,,,,70901,3220400,ENGLISH IV (ENG 4),,0,,6,24,4
,,,,70901,3310300,ECONOMICS W/EMPH FREE ENTERPR,,0,,7,21,3
,,,,70901,3330100,UNITED STATES GOVERNMENT (GOVT,,0,,3,3,3
Total,,,,70901,,,15,45,3,29,111,3.8
,,,,70901,,,,,,,,
70903,ENNIS ISD,TRADITIONAL ISD/CSD,,70903,3102500,INDEP STUDY IN MATH (1ST TIME),29,87,3,27,108,4
,,,,70903,3220400,ENGLISH IV (ENG 4),18,108,6,20,120,6
,,,,70903,3241400,COMMUNICATION APPLICATIONS,6,18,3,6,18,3
Total,,,,70903,,,39,213,5.5,45,246,5.5
,,,,70903,,,,,,,,
70905,FERRIS ISD,TRADITIONAL ISD/CSD,,70905,3102501,INDEP STUDY IN MATH (2ND TIME),16,96,6,16,96,6
,,,,70905,3220300,ENGLISH III (ENG 3),14,84,6,15,90,6
,,,,70905,3220400,ENGLISH IV (ENG 4),13,78,6,13,78,6
,,,,70905,13037200,SCIENTIFIC RESEARCH & DESIGN,26,208,8,26,208,8
Total,,,,70905,,,69,466,6.8,70,472,6.7
,,,,70905,,,,,,,,
70907,ITALY ISD,TRADITIONAL ISD/CSD,,70907,3102501,INDEP STUDY IN MATH (2ND TIME),14,42,3,14,42,3
,,,,70907,3152700,MUSIC I THEORY (MUS1THY),3,12,4,11,33,3
,,,,70907,13032300,WELDING,7,21,3,7,21,3
,,,,70907,13032400,ADVANCED WELDING,10,30,3,10,30,3
Total,,,,70907,,,26,105,4,30,126,4.2
,,,,70907,,,,,,,,
70908,MIDLOTHIAN ISD,TRADITIONAL ISD/CSD,,70908,3102500,INDEP STUDY IN MATH (1ST TIME),46,270,5.9,58,333,5.7
,,,,70908,3220300,ENGLISH III (ENG 3),47,282,6,79,471,6
,,,,70908,3220400,ENGLISH IV (ENG 4),34,198,5.8,38,219,5.8
,,,,70908,3310300,ECONOMICS W/EMPH FREE ENTERPR,30,90,3,40,120,3
,,,,70908,3330100,UNITED STATES GOVERNMENT (GOVT,29,87,3,39,117,3
,,,,70908,3340100,US HISTORY STUDIES SINCE 1877,33,195,5.9,49,288,5.9
,,,,70908,13020600,ANATOMY & PHYSIOLOGY,52,404,7.8,52,404,7.8
,,,,70908,13037200,SCIENTIFIC RESEARCH & DESIGN,11,88,8,11,88,8
Total,,,,70908,,,282,"1,614",5.7,366,"2,040",5.6
,,,,70908,,,,,,,,
70909,MILFORD ISD,TRADITIONAL ISD/CSD,,70909,3220300,ENGLISH III (ENG 3),6,6,6,10,30,3
,,,,70909,3330100,UNITED STATES GOVERNMENT (GOVT,3,3,3,3,12,4
Total,,,,70909,,,4.5,4.5,4.5,14,42,3
,,,,70909,,,,,,,,
70911,RED OAK ISD,TRADITIONAL ISD/CSD,,70911,3010200,BIOLOGY (BIO),27,156,5.8,48,282,5.9
,,,,70911,3102500,INDEP STUDY IN MATH (1ST TIME),6,24,4,11,33,3
,,,,70911,3102501,INDEP STUDY IN MATH (2ND TIME),13,39,3,19,57,3
,,,,70911,3152900,MUSIC I HISTORY (MUS1HIST),10,30,3,22,66,3
,,,,70911,3220400,ENGLISH IV (ENG 4),62,333,5.4,97,534,5.5
,,,,70911,3240900,PUBLIC SPEAKING I (PUBSPKG1),33,99,3,60,180,3
,,,,70911,3340100,US HISTORY STUDIES SINCE 1877,47,270,5.7,63,366,5.8
,,,,70911,13002400,AGRICULTURAL POWER SYS,13,39,3,13,39,3
,,,,70911,13004600,ARCHITECTURAL DESIGN,15,45,3,15,45,3
,,,,70911,13008800,GRAPHIC DESIGN & ILLUSTRATION,14,42,3,14,42,3
,,,,70911,13008900,ADV GRAPHIC DESIGN & ILLUST,24,144,6,24,144,6
,,,,70911,13011400,BUSIN INFO MGT I,12,48,4,12,48,4
,,,,70911,13014400,INSTR PRACT IN ED & TRAINING,6,24,4,6,24,4
,,,,70911,13014500,PRACTICUM ED & TRAINING,6,18,3,6,6,6
,,,,70911,13016600,ACCOUNTING I,12,48,4,12,48,4
,,,,70911,13020600,ANATOMY & PHYSIOLOGY,12,69,5.8,28,159,5.7
,,,,70911,13024700,CHILD DEVELOPMENT,,0,,6,6,6
,,,,70911,13025300,COSMETOLOGY II,20,148,7.4,20,148,7.4
,,,,70911,13027300,COMPUTER MAINTENANCE,9,36,4,9,36,4
,,,,70911,13027500,COMPUTER TECHNICIAN,6,18,3,6,24,4
,,,,70911,13036500,ENG DESIGN & PRESENTATION,10,30,3,10,30,3
Total,,,,70911,,,313,"1,660",5.3,451,"2,329",5.2
,,,,70911,,,,,,,,
70912,WAXAHACHIE ISD,TRADITIONAL ISD/CSD,,70912,3040000,CHEMISTRY (CHEM),4,4,4,4,4,4
,,,,70912,3060200,EARTH AND SPACE SCIENCE (ESS),27,108,4,19,148,7.8
,,,,70912,3101100,PRECALCULUS (PRE CALC),109,564,5.2,111,576,5.2
,,,,70912,3102500,INDEP STUDY IN MATH (1ST TIME),27,108,4,27,108,4
,,,,70912,3102501,INDEP STUDY IN MATH (2ND TIME),42,138,3.3,42,138,3.3
,,,,70912,3220300,ENGLISH III (ENG 3),141,810,5.7,155,894,5.8
,,,,70912,3220400,ENGLISH IV (ENG 4),139,819,5.9,146,861,5.9
,,,,70912,3221100,RESEARCH/TECHNICAL WRITING,25,75,3,25,75,3
,,,,70912,3221200,CREATIVE WRITING,20,-999,-49.95,20,-999,-49.95
,,,,70912,3240900,PUBLIC SPEAKING I (PUBSPKG1),27,81,3,28,84,3
,,,,70912,3310300,ECONOMICS W/EMPH FREE ENTERPR,102,306,3,105,315,3
,,,,70912,3330100,UNITED STATES GOVERNMENT (GOVT,103,309,3,107,321,3
,,,,70912,3340100,US HISTORY STUDIES SINCE 1877,140,825,5.9,153,903,5.9
,,,,70912,3350100,PSYCHOLOGY (PSYCH),28,102,3.6,31,117,3.8
,,,,70912,3440300,LANG O/T ENGLISH III - SPANISH,89,356,4,89,356,4
,,,,70912,3440400,LANG O/T ENGLISH IV - SPANISH,15,60,4,15,60,4
,,,,70912,3500100,ART I (ART 1),124,380,3.1,124,380,3.1
,,,,70912,13011500,BUSIN INFO MGT II,28,84,3,28,84,3
,,,,70912,13027200,PRINCIPLES OF INFO TECH,121,696,5.8,121,696,5.8
,,,,70912,13037210,SCIENTIFIC RESEARCH & DESGN II,51,404,7.9,51,404,7.9
,,,,70912,13037220,SCIEN RESEARCH & DESIGN III,42,328,7.8,42,328,7.8
,,,,70912,PES00052,FOUND OF PERSON FITNESS,137,255,1.9,137,255,1.9
Total,,,,70912,,,"1,526","6,876",4.5,"1,578","7,171",4.5
,,,,70912,,,,,,,,
70915,MAYPEARL ISD,TRADITIONAL ISD/CSD,,70915,3102500,INDEP STUDY IN MATH (1ST TIME),3,3,3,3,3,3
,,,,70915,3102501,INDEP STUDY IN MATH (2ND TIME),15,60,4,15,60,4
,,,,70915,3220300,ENGLISH III (ENG 3),13,39,3,11,63,5.7
,,,,70915,3220400,ENGLISH IV (ENG 4),6,6,6,6,6,6
,,,,70915,3221800,INDEP STUDY/ENGLISH (1ST TIME),15,90,6,15,90,6
,,,,70915,3241400,COMMUNICATION APPLICATIONS,6,24,4,12,36,3
,,,,70915,3310300,ECONOMICS W/EMPH FREE ENTERPR,18,54,3,18,54,3
,,,,70915,3330100,UNITED STATES GOVERNMENT (GOVT,17,51,3,17,51,3
,,,,70915,3340100,US HISTORY STUDIES SINCE 1877,11,33,3,17,51,3
,,,,70915,3350100,PSYCHOLOGY (PSYCH),,0,,3,3,3
,,,,70915,3370100,SOCIOLOGY (SOC),6,24,4,12,36,3
,,,,70915,3500100,ART I (ART 1),3,3,3,3,3,3
,,,,70915,13025200,COSMETOLOGY I,7,28,4,7,28,4
,,,,70915,13025300,COSMETOLOGY II,4,16,4,4,16,4
Total,,,,70915,,,104,434,4.2,122,509,4.2
,,,,70915,,,,,,,,
71801,BURNHAM WOOD CHARTER SCHOOL DISTRI,OPEN ENROLLMENT CHARTER,,71801,3152300,MUSIC III VOCAL ENSEMBLE,,0,,10,30,3
,,,,71801,3241400,COMMUNICATION APPLICATIONS,,0,,3,3,3
,,,,71801,3370100,SOCIOLOGY (SOC),,0,,3,3,3
Total,,,,71801,,,,0,,15,45,3
,,,,71801,,,,,,,,
71806,HARMONY SCIENCE ACAD (EL PASO),OPEN ENROLLMENT CHARTER,,71806,3220300,ENGLISH III (ENG 3),15,60,4,16,90,5.6
,,,,71806,3310300,ECONOMICS W/EMPH FREE ENTERPR,11,-999,-90.81818182,20,60,3
,,,,71806,3340100,US HISTORY STUDIES SINCE 1877,,0,,6,18,3
,,,,71806,3370100,SOCIOLOGY (SOC),3,3,3,9,27,3
Total,,,,71806,,,24,99,4.1,48,195,4.1
,,,,71806,,,,,,,,
71901,CLINT ISD,TRADITIONAL ISD/CSD,,71901,3010200,BIOLOGY (BIO),38,152,4,39,154,3.9
,,,,71901,3050000,PHYSICS (PHYSICS),16,64,4,13,104,8
,,,,71901,3060100,ASTRONOMY (ASTRMY),4,4,4,17,86,5.1
,,,,71901,3101100,PRECALCULUS (PRE CALC),18,102,5.7,60,317,5.3
,,,,71901,3102500,INDEP STUDY IN MATH (1ST TIME),,0,,24,72,3
,,,,71901,3102501,INDEP STUDY IN MATH (2ND TIME),3,3,3,20,60,3
,,,,71901,3152700,MUSIC I THEORY (MUS1THY),,0,,3,3,3
,,,,71901,3152900,MUSIC I HISTORY (MUS1HIST),,0,,3,3,3
,,,,71901,3220300,ENGLISH III (ENG 3),156,666,4.3,233,942,4
,,,,71901,3220400,ENGLISH IV (ENG 4),67,366,5.5,143,765,5.3
,,,,71901,3230100,JOURNALISM (JRNLSM),,0,,3,3,3
,,,,71901,3241400,COMMUNICATION APPLICATIONS,3,3,3,61,183,3
,,,,71901,3310300,ECONOMICS W/EMPH FREE ENTERPR,44,132,3,103,309,3
,,,,71901,3320100,WORLD GEOGRAPHY STUDIES (W GEO,,0,,3,12,4
,,,,71901,3330100,UNITED STATES GOVERNMENT (GOVT,72,279,3.9,153,555,3.6
,,,,71901,3340100,US HISTORY STUDIES SINCE 1877,48,273,5.7,158,912,5.8
,,,,71901,3350100,PSYCHOLOGY (PSYCH),18,54,3,71,213,3
,,,,71901,3370100,SOCIOLOGY (SOC),10,30,3,42,126,3
